RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,ICICIBANK.NS,BHARTIARTL.NS,ITC.NS,SBIN.NS,LT.NS,HCLTECH.NS,AXISBANK.NS,KOTAKBANK.NS,M&M.NS,MARUTI.NS,TATAMOTORS.NS,HINDUNILVR.NS,ASIANPAINT.NS,TITAN.NS,SUNPHARMA.NS,CIPLA.NS,NTPC.NS,POWERGRID.NS,TATASTEEL.NS,ULTRACEMCO.NS,JSWSTEEL.NS
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
1003.1905866655246,1041.3785088837394,1003.4073333144958,1020.4016040908621,993.7801075992681,988.3294689648806,980.9645754173329,996.4408021217596,996.658000482137,1018.6080103788138,985.7254089003168,975.0057297163507,1043.3509990354553,1016.1040754718988,1018.053941457695,979.0405251171627,980.6861348119946,952.3452892052759,1004.4705340995637,983.2867725249573,993.7192809709866,1031.493523334211,985.9839715236415,981.1128222867451,1025.3829793271823
1019.1836107270333,1014.9595107106585,999.67742629556,1038.7167898377809,1006.2730438564545,976.5706368855822,1045.526321870668,1004.3860604821517,1006.6315595600515,989.5958754767535,1006.802016206464,987.9745718925851,1090.8939561384138,1067.870966735607,1061.7531444860576,1034.897946341854,1006.9048960327507,997.0325351270685,1007.5268954886219,999.5871797462671,1010.3755845703132,1030.598744907578,990.920279159509,1029.9364811906191,1031.659498354217
1052.3472506700982,1060.0588672984802,1001.4720482117206,1071.5687735419776,983.7373835875923,997.3381706283391,1040.9789286373118,988.4320936213579,1058.644143900811,1017.9037067606444,994.723203021522,978.6789303146427,1065.0159465088927,1094.1653447473411,1095.0743599771888,1028.1860804015112,992.7313872249781,984.531900530599,991.5238170587301,951.0761605622872,998.7093674907804,1060.8407886671353,1026.204078442484,1010.2125269024887,1040.6021675113525
1057.6479672829587,1034.6753626221118,1006.8404051089618,1048.544872075206,975.9775641086497,992.5572267289368,1042.9119197536759,1007.620770285537,1039.2804237510238,964.16903552105,987.9445124031969,978.9602340753237,1056.3098520283154,1102.9581466843454,1097.7890429124895,1034.1946221927747,983.0566889243854,972.7206669335485,998.664814486467,979.7701971674176,1005.2869144405848,1076.1236297562439,989.4170793526887,990.4749667300782,1026.6348743759856
1047.7677592574437,1018.4534505375262,961.911947624924,1059.1325014288645,944.4110307755852,953.8471092086354,1057.4063565608421,1011.5658097421634,1067.6641192553295,990.3766677585049,960.5735029788174,965.9744954476542,1047.891620111485,1122.8559196837336,1110.5180693321047,1067.4268411589878,1019.7000503563139,1000.2705521629291,1010.3535083330243,1001.8391671736308,1024.219979519506,1104.8285167558802,992.246853030589,1019.1246794054072,1039.5756094373328
1002.1730493620448,1007.6947982155162,925.5046580213075,1039.6711981863607,920.8490640915948,947.9215159215945,1030.1935173202844,968.3297784706936,1057.4297951351089,979.7131409735593,947.6792910176362,944.3080076561723,1024.9109670629582,1094.4300898889721,1108.4293980351176,1056.231835191874,989.5459286697961,990.1972534821463,1002.1101516770896,1006.4773235228242,999.9081209376014,1092.017738444785,1008.3114478050883,1002.9067536983663,1031.0792806169136
985.9613922949075,1036.008332301375,928.6735022425321,1070.9164360570162,961.7445313613717,953.4335790233761,1041.6682624520818,1011.9366139172517,1068.7184946194245,983.7948389330204,956.1217266698792,941.0285146714796,1042.0827098631005,1076.940589924417,1127.3470985609467,1050.6096397649326,981.8880153261462,978.0467677324976,1018.9149237826094,1030.4342827973328,998.9204808181653,1077.789812083207,1049.0413589126827,994.3007566838812,1037.411656340401
975.605687795265,1082.3139764209998,900.2884256890102,1127.9084715330944,933.4630851019142,902.0351815883578,1121.5982898206942,991.2822613202068,1083.4965378263785,1025.4394424813643,955.4296208775222,917.2292883217793,1038.8933437828462,1040.1461561148742,1087.4533749118657,1081.681179067179,977.4367234087084,986.5016983834502,1000.1595453335995,1033.0216036710872,990.9101249057887,1052.3177743032918,1030.4473700695314,1003.7305617404938,1031.8882804174452
1013.3137353456417,1041.3775941461136,888.6218855197042,1100.729801852765,929.0400273059538,882.7490046304341,1138.7944116162298,964.4107716343616,1086.0454171724916,991.339902401884,958.487884815875,901.3533021551157,1028.1680434113496,1015.7456256796746,1069.1274260533526,1072.8065425256666,968.1835130110277,972.4829327842879,978.3637886355341,1017.8024374145864,1041.8663863416607,1034.3348652725954,1067.2210495178172,981.360777074645,1071.1716761524478
